input_text,target_text
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Normal acoustic activity: Acoustic_guitar sound observed in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Everything is calm in the Home despite the detection of Acoustic_guitar.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Low-risk Acoustic_guitar activity in the Home detected. Situation is stable.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Normal acoustic activity: Acoustic_guitar sound observed in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Normal acoustic activity: Acoustic_guitar sound observed in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Low-risk Acoustic_guitar activity in the Home detected. Situation is stable.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Everything is calm in the Home despite the detection of Acoustic_guitar.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Home experienced a typical Acoustic_guitar sound event.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Everything is calm in the Home despite the detection of Acoustic_guitar.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound is heard in the Home, but it's nothing to worry about."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Sound levels at the Home, including Acoustic_guitar, are within safe bounds."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar sound was recorded at the Home, but it poses no threat."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The Acoustic_guitar sound in the Home is part of usual background activity.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Routine Acoustic_guitar noise was detected in the Home. No action needed.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"A Acoustic_guitar was picked up in the Home, classified as non-threatening."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic_guitar detected in the Home is categorized as safe.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Low-risk Acoustic_guitar activity in the Home detected. Situation is stable.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,"Acoustic_guitar was identified in the Home, with no associated risk."
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Normal acoustic activity: Acoustic_guitar sound observed in the Home.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The environment at the Home is secure despite the Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Home | Risk: Normal,The sound of Acoustic_guitar in the Home is consistent with safe conditions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
